code,term
L23,Allergic contact dermatitis
L233,Allergic contact dermatitis due to drugs in contact with skin
L235,Allergic contact dermatitis due to other chemical products
L238,Allergic contact dermatitis due to other agents
L239,"Allergic contact dermatitis, unspecified cause"
L24,Irritant contact dermatitis
L244,Irritant contact dermatitis due to drugs in contact with skin
L245,Irritant contact dermatitis due to other chemical products
L248,Irritant contact dermatitis due to other agents
L249,"Irritant contact dermatitis, unspecified cause"
L25,Unspecified contact dermatitis
L251,Unspecified contact dermatitis due to drugs in contact with skin
L253,Unspecified contact dermatitis due to other chemical products
L258,Unspecified contact dermatitis due to other agents
L259,"Unspecified contact dermatitis, unspecified cause"
